jurisdiction,body_type,body_name,verticals_covered,address,phone,website,facebook,twitter_x,linkedin,youtube,other_social,leadership_title,leadership_name,leadership_email,general_email,source_urls,retrieval_date,notes
Alabama,County Racing Commission,Birmingham Racing Commission,Pari-mutuel horse and greyhound racing (county-level),"Birmingham, AL",not publicly available,not publicly available,not publicly available,not publicly available,not publicly available,not publicly available,not publicly available,not publicly available,not publicly available,not publicly available,not publicly available,https://www.gamingregulation.com/agency/united-states/alabama/birmingham-racing-commission/,2026-05-21,County-level commission.
Alabama,County Racing Commission,Macon County Racing Commission,Pari-mutuel horse and greyhound racing (county-level),"Macon County, AL",not publicly available,not publicly available,not publicly available,not publicly available,not publicly available,not publicly available,not publicly available,not publicly available,not publicly available,not publicly available,not publicly available,https://www.gamingregulation.com/agency/united-states/alabama/macon-county-racing-commission/,2026-05-21,County-level commission; oversees historic VictoryLand site.
Alabama,County Racing Commission,Mobile County Racing Commission,Pari-mutuel horse and greyhound racing (county-level),"Mobile County, AL",not publicly available,not publicly available,not publicly available,not publicly available,not publicly available,not publicly available,not publicly available,not publicly available,not publicly available,not publicly available,not publicly available,https://www.gamingregulation.com/agency/united-states/alabama/mobile-county-racing-commission/,2026-05-21,County-level commission; full contact details require direct outreach. AL has no state-level racing commission.
Alabama,State Attorney General (enforcement),Alabama Attorney General's Office — Gambling Enforcement,Charitable gaming enforcement; illegal gambling enforcement,"501 Washington Ave, Montgomery, AL 36130",(334) 242-7300,https://www.alabamaag.gov/,not publicly available,not publicly available,not publicly available,not publicly available,not publicly available,Attorney General,Steve Marshall,not publicly available,not publicly available,https://www.alabamaag.gov/,2026-05-21,AL has no central gaming commission. AG has primary enforcement authority. Charitable gaming licensed at county level by sheriffs/police chiefs per AL Constitution amendments. State lottery set to launch in 2026 (pending). Proposed Alabama Gaming Commission not yet established.
Alabama,Tribal Gaming Commission,Poarch Band of Creek Indians — Tribal Gaming Commission,Tribal Class II,"5811 Jack Springs Road, Atmore AL 36502",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,sbryan@pci-nsn.gov,sbryan@pci-nsn.gov,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
Alabama,Tribal Gaming Commission,Poarch Creek Indians Tribal Gaming Commission,"Class II & Class III tribal gaming (electronic bingo, casino-style)","5811 Jack Springs Rd, Atmore, AL 36502 (Poarch Reservation)",not publicly available,https://www.pci-tgc.org/,not publicly available,not publicly available,https://www.linkedin.com/company/poarch-creek-indians,not publicly available,not publicly available,Chair,Sharon Smiley,not publicly available,not publicly available,https://www.pci-tgc.org/pages/management/; https://gamingamerica.com/directory/114/the-poarch-band-of-creek-indians,2026-05-21,"Other commissioners: Keesha Frye, Wayne Colbert, Linda Brooks, Raymond Rolin, Debra Strickland, Tami McGhee. Tribal nation: Poarch Band of Creek Indians (only federally recognized tribe in AL). Site fetched empty via web_fetch, likely JS-rendered — direct visit recommended for verification."
Alaska,State Tax/Revenue Division,Alaska Department of Revenue — Tax Division — Gaming Group,"Charitable gaming (bingo, pull-tabs, raffles, fish/race classics)","550 W 7th Ave Suite 500, Anchorage, AK 99501-3555",(907) 269-0041,https://tax.alaska.gov/programs/programs/index.aspx?54160,not publicly available,not publicly available,not publicly available,not publicly available,not publicly available,Director (Tax Division),not publicly available,dor.tax.gaming@alaska.gov,dor.tax.gaming@alaska.gov,https://tax.alaska.gov/programs/programs/index.aspx?54160; https://dor.alaska.gov/,2026-05-21,Alaska has no state lottery and no commercial casinos. Only charitable gaming (bingo/pull-tabs/raffles) is legal at state level. Phone verified via DOR Tax Division contact page. Klawock Cooperative Association operates limited Class I tribal gaming.
Alaska,Tribal Gaming Commission,Eklutna Native Village — Tribal Gaming Commission,Tribal gaming,"26339 Eklutna Village Road, Chugiak AK 99567",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,,,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
Alaska,Tribal Gaming Commission,Klawock Cooperative Association — Tribal Gaming Commission,Tribal Class II & III,"PO Box 430 310 Bayview Blvd, Klawock AK 99925",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,coppershield.pow@gmail.com,coppershield.pow@gmail.com,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
Alaska,Tribal Gaming Commission,"Metlakatla Indian Community, Annette Island 8th and Milton Street, Metlakatla AK 99926 — Tribal Gaming Commission",Tribal Class II,,not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,asmith@metlakatla.com,asmith@metlakatla.com,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
American Samoa,Territorial Attorney General (enforcement),American Samoa Department of Legal Affairs (Attorney General),Gambling enforcement. AS has no legal commercial gambling.,,684-633-4116,https://www.americansamoa.gov/,https://www.facebook.com/amsamgov/,,,https://www.youtube.com/@asginfo8935,instagram: https://www.instagram.com/americansamoagovernment/,,,,webinfo@go.as.gov,https://www.americansamoa.gov/; https://www.americansamoa.gov/; https://www.americansamoa.gov/contactus,2026-05-22,GAPFILL: AS Code §46.4602 prohibits commercial gambling.
Arizona,State Gaming Department,Arizona Department of Gaming (ADG),"Tribal gaming, event wagering (sports betting), fantasy sports, racing & pari-mutuel/simulcast, unarmed combat sports","1110 W. Washington St, Suite 450, Phoenix, AZ 85007",(602) 771-4263,https://gaming.az.gov/,not publicly available,not publicly available,not publicly available,not publicly available,not publicly available,Director,Jackie Johnson,not publicly available,not publicly available,https://gaming.az.gov/about/staff; https://gaming.az.gov/contact-us,2026-05-21,"Deputy Director: John Mazza. Assistant Director Compliance: Davina Mena. Tribal liaisons: Andrea Milford, Dayne O'Brien. Asst Director Public/Intergov Affairs: Jessica Roza."
Arizona,State Lottery,Arizona Lottery,Lottery (draw games, scratchers),"4740 East University Drive, Phoenix, AZ 85034",(480) 921-4400,https://www.arizonalottery.com/,not publicly available,not publicly available,not publicly available,not publicly available,not publicly available,Executive Director,Alec Thomson,not publicly available,not publicly available,https://www.arizonalottery.com/about-the-arizona-lottery/leadership/; https://www.arizonalottery.com/contact-us/,2026-05-21
Arizona,State Racing Division (within ADG),Arizona Department of Gaming — Division of Racing,"Pari-mutuel horse racing, simulcast wagering","1110 W. Washington St, Suite 450, Phoenix, AZ 85007",(602) 771-4263,https://gaming.az.gov/racing,not publicly available,not publicly available,not publicly available,not publicly available,not publicly available,Racing Division Director,Shannon Nelson,not publicly available,not publicly available,https://gaming.az.gov/racing/commission; https://www.casinocitytimes.com/news/article/arizona-division-of-racing-opens-2025-2026-racing-season-261670,2026-05-21,"Effective Nov 3, 2025, Director Jackie Johnson delegated Racing Division Director duties to Shannon Nelson (also Deputy Director of Regulation). Arizona Racing Commission exists as a separate 5-member commission per ARS 5-104."
Arizona,Tribal Gaming Commission,"Ak-Chin Indian Communityof the Maricopa 42507 W. Peters & Nall Rd., Maricopa AZ 85238 — Tribal Gaming Commission",Tribal Class II & III,,not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,,,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
Arizona,Tribal Gaming Commission,Cocopah Tribe of Arizona — Tribal Gaming Commission,Tribal Class II & III,"County 15th & Ave. G, Somerton AZ 85350",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,sherry@cocopah.com,sherry@cocopah.com,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
Arizona,Tribal Gaming Commission,Colorado River Indian Tribes of the Colorado — Tribal Gaming Commission,Tribal Class II & III,"26600 Mohave Road, Parker AZ 85344",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,tashina.harper@crit-nsn.gov,tashina.harper@crit-nsn.gov,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
Arizona,Tribal Gaming Commission,Fort McDowell Yavapai Nation of Arizona — Tribal Gaming Commission,Tribal Class II & III,"P.O. Box 17779, Fountain Hills AZ 85269",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,Sandra.Pattea@fmyn.org,Sandra.Pattea@fmyn.org,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
Arizona,Tribal Gaming Commission,Fort Mojave Indian Tribe — Tribal Gaming Commission,Tribal Class II & III,"500 Merriman Avenue, Needles CA 92363",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,timothywilliams@fortmojave.com,timothywilliams@fortmojave.com,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
Arizona,Tribal Gaming Commission,Gila River Indian Community of the Gila River — Tribal Gaming Commission,Tribal Class II & III,"P.O. Box 97 315 West Casa Blanca, Sacaton AZ",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,Stephen.Lewis@gric.nsn.us,Stephen.Lewis@gric.nsn.us,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
Arizona,Tribal Gaming Commission,Navajo Nation — Tribal Gaming Commission,Tribal Class II & III,"P.O. Box 9000, Window Rock AZ 86515",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,jonathannez@navajo-nsn.gov,jonathannez@navajo-nsn.gov,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
Arizona,Tribal Gaming Commission,"Pascua Yaqui Tribe of Arizona 7474 S. Camino De Oeste, Tucson AZ 85746 — Tribal Gaming Commission",Tribal Class II & III,,not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,jhernandez1@pascuayaqui-nsn.gov,jhernandez1@pascuayaqui-nsn.gov,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
Arizona,Tribal Gaming Commission,Salt River Pima-Maricopa Indian Community — Tribal Gaming Commission,Tribal Class II & III,"10005 East Osborn Road, Scottsdale AZ 85256",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,Martin.Harvier@SRPMIC-nsn.gov,Martin.Harvier@SRPMIC-nsn.gov,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
Arizona,Tribal Gaming Commission,San Carlos Apache Tribe of the San Carlos — Tribal Gaming Commission,Tribal Class II & III,"P.O. Box 0, San Carlos AZ 85550",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,trambler@scatui-nsn.gov,trambler@scatui-nsn.gov,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
Arizona,Tribal Gaming Commission,Tohono O'odham Nation of Arizona — Tribal Gaming Commission,Tribal Class II & III,"P.O. Box 837, Sells AZ 85634",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,verlon.jose@tonation-nsn.gov,verlon.jose@tonation-nsn.gov,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
Arizona,Tribal Gaming Commission,Tonto Apache Tribe of Arizona — Tribal Gaming Commission,Tribal Class II & III,"Tonto Apache Reservation #30, Payson AZ 85541",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,cjohnson@tontoapache.org,cjohnson@tontoapache.org,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
Arizona,Tribal Gaming Commission,"White Mountain Apache Tribe of the Fort 201 E. Walnut St, Whiteriver AZ 85941 — Tribal Gaming Commission",Tribal Class III 502.3 &,,not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,kaseyvelasquez@wmat.us,kaseyvelasquez@wmat.us,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
Arizona,Tribal Gaming Commission,"Yavapai Apache Nation of the Camp Verde 2400 W. Datsi Street, Camp Verde AZ 86322 — Tribal Gaming Commission",Tribal Class II & III,,not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,tlewis@yan-gaming.org,tlewis@yan-gaming.org,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
Arizona,Tribal Gaming Commission,Yavapai-Prescott Indian Tribe — Tribal Gaming Commission,Tribal Class II & III,"530 East Merritt St. 305 S. Heather Heights, Prescott",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,bogo@ypit.com,bogo@ypit.com,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
Arkansas,State Lottery,Arkansas Scholarship Lottery,Lottery (draw games and scratch-offs; funds college scholarships),"124 W. Capitol Avenue, Little Rock, AR 72201",(501) 683-2000,https://www.myarkansaslottery.com/,not publicly available,not publicly available,not publicly available,not publicly available,not publicly available,Director,Sharon Strong,not publicly available,not publicly available,https://www.dfa.arkansas.gov/news/sharon-strong-named-director-of-arkansas-scholarship-lottery/; https://www.myarkansaslottery.com/contact-us,2026-05-21,Player Services Hotline: 1-800-201-0108. Retailer Licensing: 501-978-3950. Operates under DFA. Director Sharon Strong appointed June 2024.
Arkansas,State Racing & Gaming Commission,Arkansas Racing Commission (Dept of Finance and Administration),"Casino gaming (4 licensed casinos), pari-mutuel horse racing, greyhound racing, sports betting","1515 W. 7th St, Suite 505, Little Rock, AR 72201",(501) 682-1467,https://www.dfa.arkansas.gov/office/racing-commission/,not publicly available,not publicly available,not publicly available,not publicly available,not publicly available,Director (AR Racing Division),not publicly available,not publicly available,not publicly available,https://www.dfa.arkansas.gov/office/racing-commission/staff-directory/; https://portal.arkansas.gov/state_agencies/department-of-finance-and-administration/directors-office/arkansas-racing-division-office-1/,2026-05-21,"Fax: (501) 682-5273. Casino gaming added under Amendment 100 (2018) — regulates Oaklawn Racing Casino Resort, Saracen Casino Resort, Southland Casino Hotel, and a planned Pope County casino."
California,State Gaming Control Board / Commission,California Bureau of Gambling Control,"Multiple (casino, sports betting, tribal, fantasy)",,(916) 210-6276,https://oag.ca.gov/gambling,https://www.facebook.com/AGRobBonta,https://twitter.com/AGRobBonta,https://www.linkedin.com/company/california-department-of-justice/,https://www.youtube.com/user/caoag,instagram: https://www.instagram.com/AGRobBonta,,,,EERROffice@doj.ca.gov,https://www.nagra.org/State-and-Province-Gaming-Regulatory-Agencies; https://oag.ca.gov/gambling; https://oag.ca.gov/contact; https://oag.ca.gov/about; https://oag.ca.gov/gambling; https://oag.ca.gov/about; https://oag.ca.gov/office,2026-05-22,Seeded from NAGRA. Enrich with leadership/address/phone from official site.
California,State Gaming Control Board / Commission,California Gambling Control Commission,"Multiple (casino, sports betting, tribal, fantasy)",,916-708-5231,http://www.cgcc.ca.gov/,,,,,,,,,fcastano@cgcc.ca.gov,https://www.nagra.org/State-and-Province-Gaming-Regulatory-Agencies; https://www.cgcc.ca.gov/,2026-05-22,Seeded from NAGRA. Enrich with leadership/address/phone from official site.
