jurisdiction,body_type,body_name,verticals_covered,address,phone,website,facebook,twitter_x,linkedin,youtube,other_social,leadership_title,leadership_name,leadership_email,general_email,source_urls,retrieval_date,notes
Arizona,State Revenue Department - Bingo Section,Arizona Department of Revenue - Bingo Section,Charitable/recreational bingo licensing and bingo tax administration,,(602) 716-7801,https://azdor.gov/business/bingo-arizona,,,,,,,,,bingo@azdor.gov,https://azdor.gov/business/bingo-arizona; https://azdor.gov/forms/bingo-forms,2026-05-23,"Statutory bingo licensing belongs to the Dept of Revenue Bingo Section (distinct from the Arizona Dept of Gaming). azdor.gov returns HTTP 403 to automated fetch (bot protection); content verified via browser user-agent. Verified 2026-05-23."
Arkansas,State Finance & Revenue Department - Miscellaneous Tax Section,Arkansas Department of Finance and Administration,Charitable bingo & raffle licensing and taxation,,,https://www.dfa.arkansas.gov/office/taxes/excise-tax-administration/miscellaneous-tax/arkansas-miscellaneous-tax-laws/bingo-raffle/,,,,,,,,,,https://www.dfa.arkansas.gov/office/taxes/excise-tax-administration/miscellaneous-tax/arkansas-miscellaneous-tax-laws/bingo-raffle/; https://www.dfa.arkansas.gov/office/taxes/excise-tax-administration/miscellaneous-tax/,2026-05-23,"Charitable bingo/raffle administered by DF&A Excise Tax Administration, Miscellaneous Tax Section. Phone/address appeared only in third-party search snippets, not on the official program page, so left blank per sourcing rules. Verified 2026-05-23."
Florida,State Department of Agriculture & Consumer Services - Game Promotions/Sweepstakes,Florida Department of Agriculture and Consumer Services,Registration of game promotions (sweepstakes/contests) under FS 849.094,,1-800-435-7352,https://www.fdacs.gov/Business-Services/Game-Promotions-Sweepstakes,,,,,,,,,,https://www.fdacs.gov/Business-Services/Game-Promotions-Sweepstakes,2026-05-23,"FDACS registers game promotions/sweepstakes under FS 849.094 (not bingo; charitable bingo in FL is largely local). General contact via https://contact.fdacs.gov/. Verified 2026-05-23."
Idaho,State Lottery - Charitable Gaming (Enforcement Division),Idaho State Lottery Commission,Charitable bingo and raffle licensing,"Idaho Lottery Enforcement Division, PO Box 6537, Boise, ID 83707",(208) 334-2277,https://www.idaholottery.com/charitable-gaming,,,,,,Charitable Gaming Coordinator,Tina Miller,tmiller@lottery.idaho.gov,tmiller@lottery.idaho.gov,https://www.idaholottery.com/charitable-gaming,2026-05-23,"Idaho Lottery administers charitable gaming. Bingo license required for >$10,000/yr; raffle license for >$5,000 in prize value. Named contact is the program coordinator (Tina Miller), not the agency head. Verified 2026-05-23."
West Virginia,State Tax Division - Bingo & Raffle Registration,West Virginia State Tax Department,Charitable bingo & raffle licensing,"1001 Lee Street East, Charleston, WV 25301",(304) 558-3333,https://tax.wv.gov/Business/BusinessRegistration/BingoAndRaffle/Pages/BusinessRegistrationBingoAndRaffle.aspx,,,,,,,,,,https://tax.wv.gov/Business/BusinessRegistration/BingoAndRaffle/Pages/BusinessRegistrationBingoAndRaffle.aspx,2026-05-23,"Only tax-exempt charitable/public-service orgs may be licensed by the Tax Commissioner to conduct bingo/raffles. Agency now styled ""West Virginia Tax Division"" on its site (legacy name: State Tax Department). Alt phone (800) 982-8297. Verified 2026-05-23."
Maryland,State Comptroller - tax/registration (charitable gaming is county-level),County-level authorization; Comptroller registration,"No statewide charitable gaming license; counties license bingo/raffles/games of chance; Comptroller handles Admissions & Amusement tax and nonprofit (SUTEC) registration","Comptroller of Maryland, Revenue Administration Division, PO Box 549, Annapolis, MD 21404-0549",410-260-7980,https://www.marylandtaxes.gov/business/admission-amusement/index.php,,,,,,,,,sutec@marylandtaxes.gov,https://www.marylandtaxes.gov/business/admission-amusement/index.php; https://www.marylandcomptroller.gov/businesses/nonprofits.html,2026-05-23,"No statewide MD charitable gaming license — individual counties license bingo/raffles/games of chance. The Comptroller's role is tax administration (Admissions & Amusement tax on bingo/tip jars) and nonprofit (SUTEC) registration, not gaming licensing. A&A page 301-redirects to the Comptroller services knowledge base (HTTP 200). Verified 2026-05-23."
New Jersey,State regulatory commission (within Division of Consumer Affairs),New Jersey Legalized Games of Chance Control Commission,"Charitable/legalized games of chance — bingo, raffles, amusement games","PO Box 46000, Newark, NJ 07101",(973) 273-8000,https://www.njconsumeraffairs.gov/lgccc,,,,,,"Acting Director, Division of Consumer Affairs",Jeremy E. Hollander,,AskGames@dca.njoag.gov,https://www.njconsumeraffairs.gov/lgccc,2026-05-23,"Oversees charitable gaming for ~7,000 registered organizations and ~700 amusement game licensees statewide. Leadership listed is the parent Division Acting Director (no commission-specific director named on page). Verified 2026-05-23."
New Jersey,Regulatory unit (within Division of Consumer Affairs),Division of Consumer Affairs - Fantasy Sports Unit,Fantasy sports activities (DFS) — operator permitting and monitoring,"PO Box 45056, Newark, NJ 07101",(973) 273-8077,https://www.njconsumeraffairs.gov/FSU,,,,,,"Acting Director, Division of Consumer Affairs",Jeremy E. Hollander,,askconsumeraffairs@dca.lps.state.nj.us,https://www.njconsumeraffairs.gov/FSU,2026-05-23,"Regulates fantasy sports activities in NJ — reviews applications, issues annual permits, and monitors operators. Verified 2026-05-23."
New Jersey,State racing commission (within Office of the Attorney General),New Jersey Racing Commission,Horse racing and pari-mutuel wagering,,,https://www.njoag.gov/nj-racing-commission/,,,,,,Acting Executive Director,Sara Ben-David,,,https://www.njoag.gov/nj-racing-commission/,2026-05-23,"Canonical path is /nj-racing-commission/ (older nj.gov/oag/racing path did not resolve). Contact details not shown on the landing page. Acting Executive Director Sara Ben-David appointed July 24, 2024. Verified 2026-05-23."
New Jersey,State gaming enforcement/regulatory agency (within Office of the Attorney General),New Jersey Division of Gaming Enforcement,Casino gaming; internet/online casino gaming; sports wagering (casinos & racetracks),"1300 Atlantic Avenue, Atlantic City, NJ 08401",(609) 984-0909,https://www.njoag.gov/about/divisions-and-offices/division-of-gaming-enforcement-home/,,,,,,Interim Director,Mary Jo Flaherty,,info@njdge.gov,https://www.njoag.gov/about/divisions-and-offices/division-of-gaming-enforcement-home/; https://www.njoag.gov/contact-dge/,2026-05-23,"Investigative arm of the casino regulatory system; enforces the Casino Control Act and tests casino/internet gaming platforms. Jurisdiction expanded to online casino (2013) and sports wagering (2018). Trenton office: 140 East Front Street, PO Box 047, Trenton, NJ 08625. Older nj.gov/oag/ge path now redirects. Verified 2026-05-23."
