jurisdiction,program_name,program_type,administering_body,verticals_covered,enrollment_method,duration_options,removal_process,official_url,is_nvsep,idpair_flag,verification_status,retrieval_date,source_urls,notes
Nevada,Property-level self-exclusion / self-limitation (no statewide land-based list),property-by-property,Individual licensed gaming establishments (overseen by Nevada Gaming Control Board),Commercial casino;Sports betting (retail & mobile);Horse/parimutuel racing (race books);Charitable gaming,Apply individually at each casino/property; Nev. Gaming Commission Reg. 5.170 requires licensees engaged in credit issuance/check-cashing/direct-mail marketing to let patrons self-limit those privileges,Varies by property,Varies by property,https://www.gaming.nv.gov/regulations/gaming-statutes-regulations/,no,no,verified,2026-05-23,https://www.gaming.nv.gov/regulations/gaming-statutes-regulations/;https://www.gaming.nv.gov/siteassets/content/regs2/AllRegulations.pdf;https://nevadacurrent.com/2023/09/11/nevadas-lack-of-casino-self-exclusion-law-par-for-state-say-experts/,"Nevada has NO statewide self-exclusion list for land-based casino, sportsbook, or race book gambling; exclusion is handled property-by-property by each licensee. Reg. 5.170 mandates only patron 'self-limitation' of credit/check-cashing/direct-marketing, not a gambling ban. Statewide self-exclusion exists only for interactive gaming (separate row)."
Nevada,Statewide self-exclusion list for interactive gaming (Reg. 5A),state-run,Nevada Gaming Control Board,Interactive gaming (online poker),Complete self-exclusion form (online or via a licensed interactive gaming operator); operator submits the form to the Board which adds the person to the statewide list,NOT FOUND - needs human review,NOT FOUND - needs human review,https://www.gaming.nv.gov/siteassets/content/home/features/Regulation5A.pdf,no,no,verified,2026-05-23,https://www.gaming.nv.gov/siteassets/content/home/features/Regulation5A.pdf;https://cdcgaming.com/brief/self-exclusion-list-coming-to-nevada-interactive-gaming/,Nevada Gaming Commission Reg. 5A directs the Board to establish and maintain a statewide list of persons self-excluded from interactive gaming. Online poker is the only authorized interactive gaming in NV. Does NOT apply to land-based gaming. Duration/removal terms need human verification against current Reg. 5A text.
New Jersey,New Jersey Self-Exclusion Program (DGE Voluntary Self-Exclusion),state-run,New Jersey Division of Gaming Enforcement (DGE),Commercial casino (Atlantic City);iGaming/online casino;Sports betting (retail at AC casinos & racetracks and online),Four methods: (1) in person or video conference (covers all casino + sports wagering + internet gaming); (2)/(3) online via DGE portal; (4) via online player account (internet gaming incl. sports wagering). DGE Self-Exclusion Hotline 1-833-788-4DGE,"One year, five years, or lifetime (full casino exclusion); one or five years (internet-only)",Request for Removal from Voluntary Self-Exclusion List (Form 71) after the minimum period expires; lifetime exclusions are permanent,https://www.njportal.com/dge/selfexclusion,no,no,verified,2026-05-23,https://www.njportal.com/dge/selfexclusion;https://www.njoag.gov/about/divisions-and-offices/division-of-gaming-enforcement-home/self-exclusion-program/;https://www.nj.gov/oag/ge/docs/Forms/71-Request%20for%20Removal%20from%20Voluntary%20Self-Exclusion%20List.pdf,"Program established 2001 (Atlantic City casinos), expanded 2013 to internet gaming and 2018 to sports wagering. Single DGE list covers casino, iGaming, and sports wagering with selectable scope (all gaming vs internet-only). Administered with the Council on Compulsive Gambling of NJ."
New Jersey,Operator-level self-exclusion for fantasy sports (Fantasy Sports Activities Act),property-by-property,Licensed fantasy sports operators (Division of Consumer Affairs - Fantasy Sports Unit),DFS / fantasy sports,Self-exclude with each licensed fantasy sports operator; operators must provide a self-exclusion mechanism under N.J.S.A. 5:20 and implementing regulations,Varies by operator,Varies by operator,https://www.njconsumeraffairs.gov/fs,no,no,verified,2026-05-23,https://law.justia.com/codes/new-jersey/title-5/section-5-20-1/;https://www.njconsumeraffairs.gov/fs,NJ Fantasy Sports Activities Act (P.L. 2017 c.231) requires operators to offer self-exclusion; there is no single statewide DFS self-exclusion list. Enrollment is per-operator.
Michigan,Responsible Gaming Database (RGD),state-run,Michigan Gaming Control Board,iGaming/online casino (internet gaming);Sports betting (internet/online),Online application submitted to the MGCB; written confirmation emailed (can take up to 45 days),1 year or 5 years (online gaming only / online sports betting only / both),Remains until the selected term expires; reinstatement after term,https://www.michigan.gov/mgcb/resources/responsible-gaming,no,no,verified,2026-05-23,https://www.michigan.gov/mgcb/resources/responsible-gaming;https://www.michigan.gov/mgcb/resources/responsible-gaming/frequently-asked-questions,The RGD lets a patron voluntarily self-exclude from all Michigan-regulated internet gaming and/or internet sports betting. Separate from the Detroit-casino Disassociated Persons List.
Michigan,Disassociated Persons List (DPL),state-run,Michigan Gaming Control Board,Commercial casino (Detroit casinos),Submit Disassociated Persons List form via MGCB; processed by MGCB,Effectively lifetime; minimum 5 years on the list before a removal request may be filed,DPL Request for Removal Application may be filed only after at least 5 years on the list,https://www.michigan.gov/mgcb/resources/responsible-gaming,no,no,verified,2026-05-23,https://www.michigan.gov/mgcb/resources/responsible-gaming;https://www.michigan.gov/mgcb/resources/responsible-gaming/frequently-asked-questions,The DPL is the self-exclusion option for the three Detroit commercial casinos. Tribal casinos run separate property/tribal exclusion programs not covered by the DPL.
Michigan,Michigan Lottery Self-Exclusion,state-run,Michigan Lottery (Bureau of State Lottery; Dept. of Treasury),Lottery (online / iLottery account),Set via 'Responsible Gaming Tools' in the My Account section of the Michigan Lottery online platform or through the Michigan Lottery Support Center,Player-selected period (account closed for that period),Account cannot be reopened for any reason during the self-exclusion period,https://www.michiganlottery.com/responsible-gaming,no,no,verified,2026-05-23,https://www.michiganlottery.com/responsible-gaming;https://faq.michiganlottery.com/account-information-d9a191/responsible-gaming-05c321/what-is-self-exclusion-932cfb,Applies to the Michigan Lottery online (iLottery) account. NCPG iCAP-certified responsible gaming program.
Michigan,National Voluntary Self-Exclusion Program (NVSEP),national-NVSEP,idPair (private operator); recognized by participating gaming operators in Michigan,"DFS / fantasy sports;Sports betting (online, participating operators);iGaming/online casino (participating operators);poker;Horse/parimutuel racing (participating operators)",Free registration via the NVSEP platform (nvsep.org); free remote online notary provided where a notarized form is required; a single registration excludes the person across participating multi-state operators,Varies by jurisdiction/operator,NOT FOUND - needs human review,https://www.nvsep.org/,yes,yes,verified,2026-05-23,https://www.nvsep.org/;https://www.businesswire.com/news/home/20240618707860/en/National-Voluntary-Self-Exclusion-Program-NVSEP-to-Begin-Free-Self-Exclusion-Assistance-in-Four-US-Jurisdictions;https://gamingamerica.com/news/10652/national-voluntary-self-exclusion-program-to-launch-in-four-states-this-summer,"Michigan was one of four NVSEP launch jurisdictions (Aug 2024: Colorado, Iowa, Michigan, Tennessee). NVSEP is operated by idPair and supplements (does not replace) Michigan's state-run RGD and DPL. Coverage spans participating casinos, ~35 online operators, fantasy sports, horse racing, and poker; exact MI operator scope and removal terms need human verification."
Alabama,Wind Creek Birmingham — Property-Level Self-Exclusion (Birmingham Race Course),property-by-property,Wind Creek Hospitality (Poarch Band of Creek Indians),horse/parimutuel racing;HHR;simulcast,In-person at property (player tracking database enrollment),Not publicly specified — player tracking DB covers all Wind Creek domestic properties,Removal not publicly specified; contact property,https://windcreek.com/responsible-gambling,no,no,verified,2026-05-23,https://windcreek.com/responsible-gambling;https://www.americangaming.org/esg/wind-creek-hospitality/,No statewide AL racing commission. Birmingham Race Course acquired by Wind Creek Hospitality (Poarch Creek Indians) in April 2025. Wind Creek maintains a universal ban/voluntary self-exclusion in its player-tracking database covering all domestic properties. No Alabama state-level self-exclusion list exists for racing. Program is property/operator-level only.
Alabama,No voluntary self-exclusion program (confirmed — county/local-only regulation),none,N/A (county sheriff or chief of police per county),charitable gaming (bingo),N/A,N/A,N/A,https://law.justia.com/codes/alabama/title-45/chapter-8/article-15/section-45-8-150-07/,no,no,verified,2026-05-23,https://law.justia.com/codes/alabama/title-45/chapter-8/article-15/section-45-8-150-07/,Alabama charitable gaming (bingo) is authorized only by individual county constitutional amendments and regulated by the county sheriff or chief of police. No statewide oversight body exists. No self-exclusion program found at state or county level. Official county bingo statutes contain no self-exclusion provisions.
Alaska,No voluntary self-exclusion program (confirmed — charitable gaming only),none,Alaska Department of Revenue Tax Division,charitable gaming (bingo;pull-tabs;raffles),N/A,N/A,N/A,https://www.tax.alaska.gov/programs/programs/index.aspx?60000,no,no,verified,2026-05-23,https://www.tax.alaska.gov/programs/programs/index.aspx?60000;https://dor.alaska.gov/docs/taxdivisionlibraries/tax-type-docs/charitable-gaming/gaming-publications/2021_05-overview-of-charitable-gaming.pdf,Alaska charitable gaming is regulated by the AK Dept. of Revenue Tax Division under AS 05.15 and 15 AAC 160. Review of statute booklet and official overview documents found no self-exclusion program. Alaska has no state-funded responsible gambling program. No self-exclusion provisions exist for bingo/pull-tab/raffle operators under state law.
Arizona,Arizona Department of Gaming Self-Exclusion Program - Tribal Gaming,state-run,Arizona Department of Gaming,Commercial casino (tribal),In-person at ADG office (notarized form + photo by mail or in-person; notary available at ADG),"One year, five years, or ten years",No removal process specified (irrevocable for duration of period),https://gaming.az.gov/exclude,no,no,verified,2026-05-23,https://gaming.az.gov/exclude;https://gaming.az.gov/self-exclusion-form;https://www.azleg.gov/ars/5/01320.htm,Program known as 'Take Back the Game'. Statewide exclusion covers all Class III Tribal Gaming Facilities in AZ. As of 2026 approximately 2500 active exclusions. Administering body is Arizona Dept. of Gaming at 100 N. 15th Ave Suite 202 Phoenix AZ 85007; contact selfexclusion@azgaming.gov or 602-771-4263. Lottery has separate responsible play tools (az.lotto.com) but no standalone exclusion list found. CHRB not applicable - AZ has no licensed horse tracks separate from tribal gaming.
