jurisdiction,vertical,regulator,statute_citation,admin_code_citation,admin_code_title,admin_code_url,verification_status,retrieval_date,source_urls,notes
Ohio,Lottery,Ohio Lottery Commission,Ohio Rev. Code ch. 3770,OAC 3770:1,"Ohio Administrative Code, Agency 3770:1 — Ohio Lottery Commission",https://codes.ohio.gov/ohio-administrative-code/3770:1,verified,2026-05-23,https://codes.ohio.gov/ohio-administrative-code/3770:1,Lottery Commission rules are agency 3770:1 (chapters 3770:1-1 through 3770:1-9).
Ohio,Commercial casino,Ohio Casino Control Commission,Ohio Rev. Code ch. 3772,OAC 3772,"Ohio Administrative Code, Agency 3772 — Ohio Casino Control Commission",https://codes.ohio.gov/ohio-administrative-code/3772,verified,2026-05-23,https://codes.ohio.gov/ohio-administrative-code/3772,20 chapters implementing ORC ch. 3772.
Ohio,Horse/parimutuel racing,Ohio State Racing Commission,Ohio Rev. Code ch. 3769,OAC 3769,"Ohio Administrative Code, Agency 3769 — State Racing Commission",https://codes.ohio.gov/ohio-administrative-code/3769,verified,2026-05-23,https://codes.ohio.gov/ohio-administrative-code/3769,Nine chapters implementing ORC ch. 3769.
Ohio,Sports betting,Ohio Casino Control Commission,Ohio Rev. Code ch. 3775,OAC 3775,"Ohio Administrative Code, Agency 3775 — Ohio Casino Control Commission - Sports Gaming",https://codes.ohio.gov/ohio-administrative-code/3775,verified,2026-05-23,https://codes.ohio.gov/ohio-administrative-code/3775,11 chapters implementing ORC ch. 3775.
Ohio,Charitable gaming,Ohio Attorney General - Charitable Law Section,Ohio Rev. Code ch. 2915,OAC 109:1 (esp. ch. 109:1-4),Ohio Administrative Code ch. 109:1-4 — Charitable Organization Bingo (Attorney General),https://codes.ohio.gov/ohio-administrative-code/chapter-109:1-4,verified,2026-05-23,https://codes.ohio.gov/ohio-administrative-code/chapter-109:1-4,Charitable bingo rules adopted by the Ohio AG under ORC ch. 2915; agency 109:1 chapters 109:1-2 through 109:1-4.
Ohio,DFS / fantasy sports,Ohio Casino Control Commission,Ohio Rev. Code ch. 3774,OAC 3772-74,Ohio Administrative Code ch. 3772-74 — Fantasy Contests (Ohio Casino Control Commission),https://codes.ohio.gov/ohio-administrative-code/chapter-3772-74,verified,2026-05-23,https://codes.ohio.gov/ohio-administrative-code/chapter-3772-74,Fantasy contest rules promulgated under ORC 3772.03(L) and ch. 3774; codified as OAC ch. 3772-74.
Nevada,Commercial casino,Nevada Gaming Commission; Nevada Gaming Control Board,Nev. Rev. Stat. ch. 463,Regulations of the Nevada Gaming Commission and State Gaming Control Board,Regulations of the Nevada Gaming Commission and State Gaming Control Board (Regs. 1-31),https://www.gaming.nv.gov/regulations/gaming-statutes-regulations/,verified,2026-05-23,https://www.gaming.nv.gov/regulations/gaming-statutes-regulations/,"Nevada gaming is NOT codified in the standard NAC (NAC skips ch. 462-466); the implementing rules are the Regulations of the Nevada Gaming Commission and State Gaming Control Board, published by gaming.nv.gov."
Nevada,Horse/parimutuel racing,Nevada Gaming Control Board,Nev. Rev. Stat. ch. 466,"Regulations of the Nevada Gaming Commission, Reg. 26 (Pari-Mutuel Wagering); Reg. 26A (Off-Track Pari-Mutuel Wagering)",Regulation 26 — Pari-Mutuel Wagering,https://www.gaming.nv.gov/siteassets/content/home/features/Regulation26.pdf,verified,2026-05-23,https://www.gaming.nv.gov/siteassets/content/home/features/Regulation26.pdf,Pari-mutuel wagering regulated by NGC Regulation 26 / 26A under NRS chs. 463-466.
Nevada,Sports betting,Nevada Gaming Commission; Nevada Gaming Control Board,"Nev. Rev. Stat. ch. 463 (sports pool/race book provisions, esp. NRS 463.0193-.0197, 463.245)","Regulations of the Nevada Gaming Commission, Reg. 22 (Race Books and Sports Pools)",Regulation 22 — Race Books and Sports Pools,https://www.gaming.nv.gov/siteassets/content/home/features/Regulation22.pdf,verified,2026-05-23,https://www.gaming.nv.gov/siteassets/content/home/features/Regulation22.pdf,Sports wagering implemented through NGC Regulation 22.
Nevada,Charitable gaming,Nevada Gaming Control Board,Nev. Rev. Stat. ch. 462,"Regulations of the Nevada Gaming Commission, Reg. 4A (Lotteries)",Regulation 4A — Lotteries,https://www.gaming.nv.gov/siteassets/content/home/features/Regulation4A.pdf,verified,2026-05-23,https://www.gaming.nv.gov/siteassets/content/home/features/Regulation4A.pdf,Charitable lotteries (NRS 462) regulated by the Board under NGC Regulation 4A (Lotteries).
Nevada,Lottery,N/A,NOT FOUND - needs human review,,,,N/A - not authorized,2026-05-23,,No state lottery authorized (Nev. Const. art. IV sec. 24 prohibits); no admin rules to capture.
New Jersey,Lottery,New Jersey Lottery Commission (Division of State Lottery),N.J.S.A. 5:9-1 et seq.,N.J.A.C. 17:20,"New Jersey Administrative Code Title 17, ch. 20 — Rules of the Lottery Commission",https://www.njlottery.com/en-us/aboutus/commissionandlegislation.html,verified,2026-05-23,https://www.njlottery.com/en-us/aboutus/commissionandlegislation.html,N.J.A.C. 17:20-1.1 through -12.23; full rule text hosted on the official NJ Lottery commission & legislation page.
New Jersey,Commercial casino,New Jersey Casino Control Commission; Division of Gaming Enforcement,N.J.S.A. 5:12-1 et seq.,N.J.A.C. 13:69 et seq.; N.J.A.C. 19:40-19:48,DGE General Provisions (N.J.A.C. 13:69 through 13:69P); Casino Control Commission rules (N.J.A.C. 19:40-19:48),https://www.njoag.gov/about/divisions-and-offices/division-of-gaming-enforcement-home/new-jersey-casino-control-act-and-regulations/,verified,2026-05-23,https://www.njoag.gov/about/divisions-and-offices/division-of-gaming-enforcement-home/new-jersey-casino-control-act-and-regulations/,DGE chapters 13:69-13:69P regulate casino operations; CCC chapters 19:40-19:48 cover licensing/conduct. Official DGE regulations hub.
New Jersey,Horse/parimutuel racing,New Jersey Racing Commission,N.J.S.A. 5:5-22 et seq.,N.J.A.C. 13:70 (Thoroughbred); 13:71 (Harness),New Jersey Racing Commission rules — N.J.A.C. 13:70 (Thoroughbred Racing) and 13:71 (Harness Racing),https://www.njoag.gov/about/divisions-and-offices/nj-racing-commission-home/rules-and-regulations/,verified,2026-05-23,https://www.njoag.gov/about/divisions-and-offices/nj-racing-commission-home/rules-and-regulations/,Also chapters 13:72-13:74C. Official NJ Racing Commission rules page.
New Jersey,Sports betting,New Jersey Division of Gaming Enforcement,N.J.S.A. 5:12A-10 et seq.,N.J.A.C. 13:69N,New Jersey Administrative Code ch. 69N — Sports Wagering (Division of Gaming Enforcement),https://www.nj.gov/oag/ge/docs/Regulations/CHAPTER69N.pdf,verified,2026-05-23,https://www.nj.gov/oag/ge/docs/Regulations/CHAPTER69N.pdf,Official DGE-published chapter PDF.
New Jersey,iGaming/online casino,New Jersey Division of Gaming Enforcement,N.J.S.A. 5:12-95.17 et seq.,N.J.A.C. 13:69O,New Jersey Administrative Code ch. 69O — Internet and Mobile Gaming (Division of Gaming Enforcement),https://www.nj.gov/oag/ge/docs/Regulations/CHAPTER69O.pdf,verified,2026-05-23,https://www.nj.gov/oag/ge/docs/Regulations/CHAPTER69O.pdf,Official DGE-published chapter PDF.
New Jersey,Charitable gaming,New Jersey Legalized Games of Chance Control Commission,N.J.S.A. 5:8-1 et seq. (Bingo Licensing Law); 5:8-50 et seq. (Raffles Licensing Law),N.J.A.C. 13:47,New Jersey Administrative Code ch. 47 — Rules of Legalized Games of Chance,https://www.njconsumeraffairs.gov/regulations/Chapter-47-Rules-of-Legalized-Games-of-Chance.pdf,verified,2026-05-23,https://www.njconsumeraffairs.gov/regulations/Chapter-47-Rules-of-Legalized-Games-of-Chance.pdf,Official Division of Consumer Affairs-published chapter PDF (Legalized Games of Chance Control Commission).
New Jersey,DFS / fantasy sports,Division of Consumer Affairs - Fantasy Sports Unit,N.J.S.A. 5:20-1 et seq.,N.J.A.C. 13:45A-36,"New Jersey Administrative Code 13:45A-36 — Fantasy Sports Operators (within ch. 45A, Division of Consumer Affairs)",https://www.njconsumeraffairs.gov/regulations/Chapter-45A-Administrative-Rules-of-the-Division-of-Consumer-Affairs.pdf,verified,2026-05-23,https://www.njconsumeraffairs.gov/regulations/Chapter-45A-Administrative-Rules-of-the-Division-of-Consumer-Affairs.pdf,Subchapter 36 (Fantasy Sports Operators) adopted eff. 2019-12-02; within DCA Chapter 45A.
Puerto Rico,Lottery,Puerto Rico Department of Treasury (Hacienda),"P.R. Laws Ann. tit. 15, § 401 et seq. (Traditional Lottery); tit. 15, § 1311 et seq. (Electronic Lottery)",Reglamento Núm. 6675 (Reglamento para la Administración y Funcionamiento de la Lotería Tradicional de P.R.); Reglamento Núm. 8633 (Reglamento Operacional de Lotería Adicional / Lotería Electrónica),Reglamento para la Administración y Funcionamiento de la Lotería Tradicional de P.R.; Reglamento Operacional de Lotería Adicional,https://hacienda.pr.gov/publicaciones/reglamento-para-la-administracion-y-funcionamiento-de-la-loteria-tradicional-de-pr,verified,2026-05-23,https://hacienda.pr.gov/publicaciones/reglamento-para-la-administracion-y-funcionamiento-de-la-loteria-tradicional-de-pr; https://hacienda.pr.gov/reglamento-operacional-de-loteria-adicional-reglamento-8633,"Official Hacienda (Departamento de Hacienda, Negociado de la Loteria de PR) reglamento pages, both confirmed HTTP 200 / real content. Reglamento 6675 (2003) governs the Traditional Lottery; Reglamento 8633 governs the Loteria Adicional / Electronic Lottery. Spanish-language official source. Two reglamentos cited because the assigned statute splits Traditional (tit.15 sec.401) vs Electronic (tit.15 sec.1311)."
